Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,Start_guess
0.7000000000000011,4.699999999999999,-2.6999999999999997,-4.3,2.3,0.3000000000000007,0.7000000000000011,-4.5,4.1,18
-3.7,-1.0999999999999996,-4.5,-1.4999999999999996,3.9000000000000004,-1.2999999999999998,1.0999999999999996,-0.09999999999999964,-1.0999999999999996,19
3.9000000000000004,3.3000000000000007,-0.7000000000000002,3.9000000000000004,0.8999999999999995,4.699999999999999,1.9000000000000004,0.8999999999999995,0.7000000000000011,20
3.3000000000000007,-4.7,-1.9,-3.7,-1.6999999999999997,-0.8999999999999995,-0.5,2.1000000000000005,2.1000000000000005,21
0.5,0.8999999999999995,-0.2999999999999998,4.9,0.7000000000000011,2.5,-2.3,-0.5,-3.9,22
1.7000000000000002,-3.7,0.8999999999999995,0.5,-4.3,2.1000000000000005,-4.7,0.5,-1.2999999999999998,23
3.1000000000000014,-1.6999999999999997,4.1,-4.1,-3.3,0.5,2.1000000000000005,3.3000000000000007,1.2999999999999998,24
1.2999999999999998,0.7000000000000011,-2.0999999999999996,-1.9,1.5,0.09999999999999964,-2.9,0.3000000000000007,3.5,25
0.3000000000000007,-2.0999999999999996,-4.7,3.1000000000000014,-4.1,-0.5,3.1000000000000014,-3.5,-0.7000000000000002,26
-0.5,-3.5,2.7,-2.5,4.5,1.7000000000000002,-1.0999999999999996,1.0999999999999996,4.699999999999999,27
-2.6999999999999997,2.9000000000000004,-0.09999999999999964,3.3000000000000007,4.1,0.7000000000000011,-4.9,2.3,-4.5,28
-3.5,0.5,-4.3,-4.5,-2.0999999999999996,-1.9,-2.0999999999999996,-4.3,2.9000000000000004,29
-4.5,1.2999999999999998,-1.4999999999999996,-2.3,3.6999999999999993,3.6999999999999993,3.9000000000000004,-4.7,-3.7,30
-4.7,-1.9,-4.1,2.9000000000000004,-4.5,-3.5,-3.9,4.9,-2.5,31
2.7,-4.3,1.7000000000000002,-3.1,3.5,-0.09999999999999964,-4.3,0.7000000000000011,4.5,32
3.6999999999999993,1.5,1.2999999999999998,4.1,4.9,-1.4999999999999996,2.3,-2.3,2.7,33
-2.9,4.1,4.5,-3.9,1.7000000000000002,4.9,0.3000000000000007,1.2999999999999998,-0.8999999999999995,34
-3.9,-1.2999999999999998,3.9000000000000004,1.0999999999999996,1.2999999999999998,3.5,-3.1,-3.7,0.09999999999999964,35
-0.09999999999999964,-2.9,2.3,-1.0999999999999996,2.7,-0.7000000000000002,2.9000000000000004,3.6999999999999993,-0.2999999999999998,36
2.9000000000000004,-3.1,-3.9,-3.5,0.09999999999999964,-3.7,-0.7000000000000002,-3.3,-3.3,37
-2.0999999999999996,-0.5,-3.1,-4.9,-3.7,-1.6999999999999997,-4.1,-4.9,0.3000000000000007,38
-0.2999999999999998,0.09999999999999964,4.9,2.7,2.1000000000000005,-4.9,4.699999999999999,4.300000000000001,-2.6999999999999997,39
-1.0999999999999996,2.7,3.5,3.6999999999999993,-2.5,-0.2999999999999998,4.5,-1.9,4.9,40
-0.8999999999999995,-2.6999999999999997,0.3000000000000007,4.300000000000001,0.3000000000000007,1.0999999999999996,-1.4999999999999996,0.09999999999999964,-1.9,41
-1.6999999999999997,2.5,3.3000000000000007,2.3,2.9000000000000004,-4.1,-2.5,-1.2999999999999998,-3.1,42
-4.9,-4.1,-0.5,1.5,-0.5,-3.3,-0.2999999999999998,2.9000000000000004,2.5,43
1.5,-3.3,-2.9,1.2999999999999998,-4.7,3.3000000000000007,-3.7,1.9000000000000004,3.9000000000000004,44
1.0999999999999996,-2.5,2.1000000000000005,2.5,4.300000000000001,-2.3,3.3000000000000007,-0.8999999999999995,3.6999999999999993,45
2.5,2.1000000000000005,-1.0999999999999996,-2.0999999999999996,-3.1,2.3,0.5,2.5,3.1000000000000014,46
4.5,-0.09999999999999964,-1.6999999999999997,2.1000000000000005,-0.09999999999999964,-2.0999999999999996,-2.6999999999999997,-0.2999999999999998,-0.5,47
2.3,-0.2999999999999998,-2.5,0.7000000000000011,1.9000000000000004,-3.9,-3.3,3.1000000000000014,1.9000000000000004,48
-2.5,-3.9,2.5,0.09999999999999964,4.699999999999999,-1.0999999999999996,-1.2999999999999998,-1.6999999999999997,-4.3,49
4.1,-0.8999999999999995,3.1000000000000014,-0.5,-2.3,4.300000000000001,0.8999999999999995,3.9000000000000004,3.3000000000000007,50
